user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
8270,web,promotional,Android,9,Wednesday,0.0441,8,15,inactive,0
1860,app,reminder,iOS,13,Wednesday,0.393,10,32,inactive,0
6390,app,promotional,iOS,1,Sunday,0.5708,13,2,active,1
6191,web,promotional,Android,9,Wednesday,0.3587,5,2,active,1
6734,app,promotional,iOS,13,Tuesday,0.4492,5,5,new,1
7265,app,promotional,macOS,14,Saturday,0.0419,9,2,inactive,0
1466,app,promotional,iOS,20,Wednesday,0.301,17,1,new,1
5426,app,newsletter,Android,15,Thursday,0.1741,9,17,inactive,0
6578,app,promotional,iOS,12,Monday,0.5396,9,3,new,1
9322,app,newsletter,Android,20,Wednesday,0.8063,15,16,inactive,0
2685,email,promotional,iOS,18,Sunday,0.097,11,29,active,1
1769,web,promotional,Android,8,Thursday,0.2815,8,15,active,1
7949,web,reminder,iOS,7,Tuesday,0.5122,12,1,active,1
3433,app,promotional,Windows,16,Thursday,0.0338,11,12,active,1
6311,email,newsletter,iOS,14,Saturday,0.1236,5,7,active,1
6051,app,transactional,Windows,18,Tuesday,0.5498,10,6,active,1
7420,app,promotional,Windows,17,Wednesday,0.5714,14,5,active,0
2184,web,reminder,iOS,15,Sunday,0.077,7,39,inactive,1
5555,app,promotional,Android,22,Tuesday,0.3431,12,20,inactive,1
4385,app,reminder,iOS,13,Friday,0.2288,8,2,active,1
7396,web,promotional,macOS,7,Thursday,0.1569,8,9,active,0
9666,email,reminder,Android,18,Thursday,0.4281,14,5,new,1
3558,web,promotional,iOS,9,Wednesday,0.1095,9,57,inactive,0
8849,web,transactional,iOS,17,Tuesday,0.0969,8,57,inactive,0
3047,email,newsletter,iOS,21,Thursday,0.2572,9,5,inactive,0
3747,app,reminder,macOS,16,Tuesday,0.3342,11,6,active,1
1189,app,reminder,iOS,15,Wednesday,0.5198,7,13,inactive,0
3734,app,newsletter,Android,12,Tuesday,0.1511,9,9,inactive,0
4005,app,reminder,Android,11,Monday,0.1589,7,3,active,0
5658,app,promotional,macOS,10,Sunday,0.2085,14,16,active,0
2899,email,promotional,iOS,15,Wednesday,0.1974,7,6,active,1
8734,web,promotional,Android,17,Sunday,0.3833,6,15,inactive,0
2267,web,transactional,Android,16,Monday,0.3057,11,7,active,1
2528,app,transactional,Android,8,Thursday,0.0846,6,18,active,0
4556,email,transactional,iOS,13,Tuesday,0.3112,8,16,active,0
4890,email,promotional,iOS,18,Friday,0.1018,10,10,inactive,1
9838,email,newsletter,iOS,12,Friday,0.4282,9,18,active,1
6393,app,promotional,Android,13,Monday,0.0395,7,9,inactive,1
9792,web,promotional,iOS,17,Saturday,0.5297,13,1,active,1
9433,app,transactional,Android,16,Tuesday,0.0962,8,3,inactive,0
8513,app,newsletter,iOS,12,Thursday,0.3427,7,4,active,0
3612,app,newsletter,Windows,19,Sunday,0.3853,9,0,new,0
8041,web,newsletter,macOS,8,Saturday,0.1125,4,18,inactive,1
7235,web,promotional,Android,23,Sunday,0.4023,13,6,active,1
6486,app,transactional,iOS,7,Tuesday,0.3879,8,1,active,1
8099,app,promotional,iOS,1,Monday,0.1389,8,25,active,1
1775,web,transactional,iOS,19,Tuesday,0.4881,14,17,inactive,0
9226,app,transactional,iOS,9,Wednesday,0.2442,12,9,active,0
4152,app,promotional,Android,17,Friday,0.0677,7,4,active,0
2585,app,promotional,Android,18,Monday,0.177,10,2,inactive,0
4943,web,reminder,macOS,19,Thursday,0.2166,10,9,active,1
8555,app,reminder,iOS,23,Tuesday,0.1288,9,32,churned,1
4073,app,transactional,Android,10,Tuesday,0.0774,9,3,active,1
2021,app,promotional,Android,17,Thursday,0.1921,12,12,active,0
4843,email,promotional,Android,7,Wednesday,0.3551,11,48,churned,0
8989,web,transactional,iOS,12,Friday,0.3746,5,15,active,1
7873,web,reminder,Android,19,Monday,0.1346,13,8,active,0
6675,app,promotional,Android,11,Friday,0.0984,13,18,inactive,0
1161,web,newsletter,Android,14,Monday,0.1997,7,26,active,1
5297,app,promotional,macOS,13,Tuesday,0.2662,11,13,inactive,0
1995,web,reminder,iOS,16,Thursday,0.0802,9,30,active,0
8629,email,transactional,iOS,22,Saturday,0.2118,20,10,inactive,1
2016,web,newsletter,Android,6,Tuesday,0.2419,10,26,inactive,0
8869,email,promotional,Android,14,Tuesday,0.2867,5,45,churned,1
7439,web,newsletter,iOS,19,Thursday,0.2419,11,10,inactive,0
8892,app,promotional,Android,13,Tuesday,0.6035,10,13,active,0
7863,email,promotional,macOS,7,Friday,0.4235,5,14,inactive,0
8916,app,reminder,macOS,14,Friday,0.7261,7,22,inactive,1
9529,web,reminder,iOS,10,Monday,0.105,17,25,inactive,0
1878,app,reminder,Windows,8,Wednesday,0.0706,11,0,inactive,1
5887,app,newsletter,Android,19,Friday,0.2674,8,19,active,1
5859,app,newsletter,Android,13,Tuesday,0.121,11,22,active,0
7331,app,promotional,Android,20,Thursday,0.333,8,18,inactive,1
9571,web,promotional,Windows,18,Monday,0.1819,7,18,inactive,1
9684,web,promotional,Android,16,Thursday,0.0756,9,0,active,0
8208,app,newsletter,iOS,0,Monday,0.3617,11,8,inactive,0
6276,app,transactional,Android,12,Friday,0.6196,7,25,inactive,1
3062,web,promotional,Android,8,Wednesday,0.2351,15,40,inactive,0
1064,app,transactional,iOS,20,Tuesday,0.2321,12,3,inactive,0
9006,web,newsletter,Windows,8,Friday,0.3328,7,12,inactive,1
3568,web,transactional,Android,9,Monday,0.3363,9,24,inactive,0
6463,email,promotional,Android,13,Wednesday,0.5519,12,20,active,0
3027,web,promotional,iOS,9,Wednesday,0.2435,9,14,inactive,0
3695,app,promotional,Android,8,Tuesday,0.6226,12,0,active,1
6258,web,promotional,iOS,15,Saturday,0.4278,6,19,active,1
6618,app,newsletter,iOS,7,Friday,0.0986,16,22,active,0
7736,app,newsletter,Android,6,Monday,0.1614,12,19,active,0
1391,web,newsletter,Android,11,Friday,0.1664,10,21,active,0
6892,app,transactional,Android,17,Wednesday,0.7063,5,8,inactive,0
4561,web,newsletter,iOS,14,Saturday,0.1841,7,76,inactive,0
7184,email,promotional,Android,12,Tuesday,0.4652,11,22,inactive,0
4099,email,transactional,iOS,14,Thursday,0.1037,11,12,inactive,0
7278,email,newsletter,macOS,11,Wednesday,0.2921,12,40,inactive,0
9392,app,promotional,Android,20,Wednesday,0.2049,12,35,inactive,1
4104,app,promotional,Android,6,Wednesday,0.5795,8,25,active,0
8215,web,reminder,iOS,16,Tuesday,0.0959,11,12,active,1
3454,app,promotional,iOS,19,Friday,0.1118,15,11,inactive,1
9996,web,newsletter,macOS,18,Wednesday,0.1116,9,5,active,0
3731,web,promotional,iOS,8,Sunday,0.1526,10,4,inactive,0
9154,web,newsletter,Android,10,Tuesday,0.2088,13,10,inactive,1
6056,app,promotional,Android,17,Thursday,0.3187,5,12,active,0
9110,app,promotional,iOS,7,Sunday,0.3815,16,4,active,0
4840,app,newsletter,Windows,18,Thursday,0.1487,8,38,inactive,0
2028,app,promotional,Android,17,Saturday,0.2475,9,12,active,0
8385,email,transactional,iOS,17,Friday,0.5813,6,11,active,1
1502,app,promotional,iOS,7,Wednesday,0.5614,9,8,active,1
7910,app,promotional,iOS,17,Thursday,0.0651,4,0,active,1
7938,app,promotional,Windows,16,Monday,0.0869,9,32,churned,0
5488,web,promotional,Android,18,Thursday,0.1241,12,5,inactive,0
1206,web,reminder,iOS,5,Tuesday,0.3211,12,15,inactive,0
6134,app,promotional,iOS,3,Friday,0.2275,9,14,inactive,0
6977,app,transactional,Android,11,Wednesday,0.133,14,13,active,1
8721,app,promotional,Android,8,Wednesday,0.2937,9,11,active,1
8035,app,promotional,Android,14,Tuesday,0.5707,12,3,active,1
2484,web,reminder,iOS,20,Sunday,0.0701,8,4,inactive,0
8858,web,promotional,iOS,11,Monday,0.2567,10,11,inactive,1
1863,app,reminder,Android,19,Monday,0.1789,6,23,inactive,0
3790,app,promotional,macOS,0,Tuesday,0.4526,8,8,active,1
8408,email,newsletter,iOS,8,Sunday,0.076,7,3,inactive,0
9755,web,transactional,Android,4,Sunday,0.1983,12,1,inactive,0
6116,web,reminder,Android,10,Thursday,0.4713,7,16,inactive,1
7019,app,transactional,Android,20,Saturday,0.1947,9,8,active,1
2757,web,transactional,iOS,7,Tuesday,0.2866,9,2,active,0
8574,app,promotional,Windows,15,Sunday,0.0717,5,16,inactive,0
7374,web,promotional,Android,12,Monday,0.237,6,3,active,1
7892,email,reminder,Android,21,Monday,0.3023,11,10,active,0
2678,app,promotional,iOS,7,Monday,0.3824,11,5,active,1
4242,app,transactional,iOS,8,Thursday,0.1037,10,40,inactive,1
5636,app,newsletter,iOS,4,Friday,0.2543,11,3,active,0
2059,app,promotional,Android,12,Wednesday,0.3228,7,8,inactive,1
7668,app,reminder,iOS,9,Sunday,0.2523,5,48,churned,0
4157,app,newsletter,Android,19,Wednesday,0.1852,7,5,active,0
6915,web,transactional,iOS,15,Monday,0.115,12,15,inactive,1
3693,web,reminder,Android,15,Wednesday,0.2811,6,5,inactive,1
